name,Description,Location,tags
Airbnb,Book accommodations around the world.,"San Francisco, CA, USA","W09,Consumer,Travel, Leisure and Tourism"
Amplitude,Digital Analytics Platform,"San Francisco, CA, USA","W12,B2B,Analytics"
Coinbase,"Buy, sell, and manage cryptocurrencies.","San Francisco, CA, USA","S12,Fintech,Banking and Exchange"
DoorDash,Restaurant delivery.,"San Francisco, CA, USA","S13,Consumer,Food and Beverage"
Dropbox,Backup and share files in the cloud.,"San Francisco, CA, USA","S07,B2B,Productivity"
Ginkgo Bioworks,Our mission is to make biology easier to engineer.,"Boston, MA, USA","S14,Healthcare,Industrial Bio"
GitLab,A complete DevOps platform delivered as a single application.,"San Francisco, CA, USA","W15,B2B,Engineering, Product and Design"
Instacart,Marketplace for grocery delivery and pickup,"San Francisco, CA, USA","S12,Consumer,Food and Beverage"
Momentus,The space infrastructure services company,"Santa Clara, CA, USA","S18,Industrials,Aviation and Space"
Notable Labs,Personalized drug discovery for blood cancer.,"Foster City, CA, USA","W15,Healthcare,Diagnostics"
PagerDuty,Real-time visibility into critical apps and services all in one place.,"San Francisco, CA, USA","S10,B2B,Engineering, Product and Design"
Pardes Biosciences,We break viruses,"San Francisco, CA, USA","S20,Healthcare,Drug Discovery and Delivery"
Presto,Digital meets physical for big chain restaurants,"San Carlos, CA, USA","S10,B2B,Retail"
Rigetti Computing,Quantum coherent supercomputing.,"Berkeley, CA, USA","S14,Industrials,Manufacturing and Robotics"
Weave,Customer communication and payments platform.,"Lehi, UT, USA","W14,B2B,Office Management"
Oklo,"Emission free, always on power from advanced fission power plants.","Santa Clara, CA, USA","S14,Industrials,Energy"
Matterport,Turn physical objects and environments into 3D models in seconds.,"Sunnyvale, CA, USA","W12,Consumer,Virtual and Augmented Reality"
Embark Trucks,Self-driving semi trucks.,"San Francisco, CA, USA","W16,Industrials,Automotive"
Lucira Health,Next generation infectious disease test kits,"Emeryville, CA, USA","W15,Healthcare,Diagnostics"
Segment,"Software and APIs to collect, clean, and control customer data.","San Francisco, CA, USA","S11,B2B,Analytics"
Algolia,A developer-friendly and enterprise-grade search API.,"San Francisco, CA, USA","W14,B2B,Engineering, Product and Design"
Truebill,Live your best financial life,"Silver Spring, MD, USA","W16,Fintech,Consumer Finance"
